Código,Nome,Volume,Última (R$),Variação
TAEE4,Taesa,124.000,12,56,-0,40%
DEXP3,Dexxos,121.600,9,81,-0,91%
ATMP3,Atma,120.900,0,96,+2,13%
RSID3,Rossi Residencial,117.800,3,21,-3,31%
MELK3,Melnick,117.500,4,16,+1,46%
CAMB3,Cambuci,115.200,8,10,-1,94%
WEST3,Westwing,109.600,1,14,+2,70%
PFRM3,Profarma,109.400,3,47,+0,00%
TGMA3,Tegma,108.600,22,53,-0,04%
ITSA3,Itaúsa,107.900,9,04,-0,11%
LVTC3,WDC Networks,105.500,5,33,-4,31%
CTNM4,Coteminas,98.900,2,75,+1,85%
CTSA4,Santanense,97.300,1,84,-4,66%
POMO3,Marcopolo,95.100,3,41,-2,85%
SANB3,Banco Santander,91.400,13,49,-1,10%
RNEW4,Renova Energia,90.700,1,53,+2,00%
SANB4,Banco Santander,84.900,15,32,-2,23%
LPSB3,Lopes,79.000,2,18,-1,36%
TFCO4,Track & Field,75.800,10,79,+1,79%
TAEE3,Taesa,74.200,12,50,-0,71%
FIQE3,Unifique,74.200,3,70,+0,00%
RNEW3,Renova Energia,72.500,1,47,-0,68%
TCSA3,Tecnisa,68.900,3,09,-2,22%
UCAS3,Unicasa,68.300,2,62,+1,55%
VSTE3,LE LIS BLANC,68.000,16,30,-2,69%
TELB3,Telebras,63.300,18,00,-10,36%
BRAP3,Bradespar,63.100,20,34,-1,36%
BRPR3,BR Properties,55.400,66,75,+16,68%
CSUD3,CSU Cardsystem,49.500,13,16,-1,64%
SNSY5,Sansuy,48.900,3,16,+22,96%
ALLD3,Allied,47.800,6,49,-2,84%
FHER3,Fertilizantes Heringer,44.000,14,44,-0,69%
RPMG3,Refinaria de Manguinhos,43.800,1,96,-2,00%
DMVF3,D1000 Varejo Farma,36.800,4,30,-0,46%
SLED4,Saraiva,34.600,0,99,-1,98%
AVLL3,Alphaville,32.000,3,98,+1,79%
AGXY3,AgroGalaxy,29.300,6,11,+1,66%
HAGA3,Haga,28.800,2,26,-4,64%
HAGA4,Haga,28.100,1,01,-3,81%
COCE5,Coelce,26.200,51,60,-0,46%
BOBR4,Bombril,25.500,1,54,-0,65%
BEES3,Banestes,24.800,7,70,+3,36%
BPAC5,Banco BTG Pactual,24.000,6,59,-4,22%
ELMD3,Eletromidia,23.200,14,80,-1,66%
DESK3,Desktop,23.200,9,47,-0,53%
